sample_index,time_s,V_raw,I_raw,T,V_corr_raw,V_corr_raw_ema50,V_corr_raw_ema200,V_corr_raw_ema800,I_raw_ema50,I_raw_ema200,absI_ema50,absI_ema200,SOC_fraction,profile,temperature_C,file_name,end_index,seed,SOC_true_window_endpoint,SOC_pred_window_endpoint,abs_error
0,0.0,3.9537487,-1.92431e-05,25.0,3.9537501,3.9537501,3.9537501,3.9537501,-1.92431e-05,-1.92431e-05,1.92431e-05,1.92431e-05,0.8361320161629795,FUDS,25,NMC_25C_FUDS.csv,,,,,
1,1.0155799999993178,3.9539106,-1.92431e-05,25.0,3.9537516,3.9537501,3.9537501,3.9537501,-1.92431e-05,-1.92431e-05,1.92431e-05,1.92431e-05,0.836132011063,FUDS,25,NMC_25C_FUDS.csv,,,,,
2,2.031220000004396,3.9539106,-1.92431e-05,25.0,3.9537528,3.9537501,3.9537501,3.9537501,-1.92431e-05,-1.92431e-05,1.92431e-05,1.92431e-05,0.8361320059630204,FUDS,25,NMC_25C_FUDS.csv,,,,,
3,3.0312899999989895,3.9539106,-1.92431e-05,25.0,3.9537542,3.9537504,3.9537501,3.9537501,-1.92431e-05,-1.92431e-05,1.92431e-05,1.92431e-05,0.8361320003994063,FUDS,25,NMC_25C_FUDS.csv,,,,,
4,4.046809999999823,3.9540725,-1.92431e-05,25.0,3.9537568,3.9537504,3.9537501,3.9537501,-1.92431e-05,-1.92431e-05,1.92431e-05,1.92431e-05,0.8361319971539648,FUDS,25,NMC_25C_FUDS.csv,,,,,
5,5.062440000001516,3.9539106,-1.92431e-05,25.0,3.9537582,3.9537506,3.9537501,3.9537501,-1.92431e-05,-1.92431e-05,1.92431e-05,1.92431e-05,0.8361319915903507,FUDS,25,NMC_25C_FUDS.csv,,,,,
6,6.077810000002501,3.9539106,-1.92431e-05,25.0,3.9537594,3.9537508,3.9537504,3.9537501,-1.92431e-05,-1.92431e-05,1.92431e-05,1.92431e-05,0.8361319878812746,FUDS,25,NMC_25C_FUDS.csv,,,,,
7,7.093150000000605,3.9539106,-1.92431e-05,25.0,3.9537606,3.9537508,3.9537504,3.9537501,-1.92431e-05,-1.92431e-05,1.92431e-05,1.92431e-05,0.8361319855631021,FUDS,25,NMC_25C_FUDS.csv,,,,,
8,8.093730000000505,3.9540725,-1.92431e-05,25.0,3.9537632,3.953751,3.9537504,3.9537501,-1.92431e-05,-1.92431e-05,1.92431e-05,1.92431e-05,0.836131975363143,FUDS,25,NMC_25C_FUDS.csv,,,,,
9,9.109280000004219,3.9539106,-1.92431e-05,25.0,3.9537647,3.9537516,3.9537504,3.9537501,-1.92431e-05,-1.92431e-05,1.92431e-05,1.92431e-05,0.836131972581336,FUDS,25,NMC_25C_FUDS.csv,,,,,
10,10.124940000001516,3.9539106,-1.92431e-05,25.0,3.9537659,3.9537518,3.9537506,3.9537501,-1.92431e-05,-1.92431e-05,1.92431e-05,1.92431e-05,0.8361319674813564,FUDS,25,NMC_25C_FUDS.csv,,,,,
11,11.14042999999947,3.9542344,-1.92431e-05,25.0,3.9537697,3.953752,3.9537506,3.9537504,-1.92431e-05,-1.92431e-05,1.92431e-05,1.92431e-05,0.8361319614541078,FUDS,25,NMC_25C_FUDS.csv,,,,,
12,12.14049000000523,3.9540725,-1.92431e-05,25.0,3.9537723,3.9537525,3.9537508,3.9537504,-1.92431e-05,-1.92431e-05,1.92431e-05,1.92431e-05,0.8361319572813973,FUDS,25,NMC_25C_FUDS.csv,,,,,
13,13.15613999999914,3.9537487,-1.92431e-05,25.0,3.953772,3.953753,3.9537508,3.9537504,-1.92431e-05,-1.92431e-05,1.92431e-05,1.92431e-05,0.8361319549632248,FUDS,25,NMC_25C_FUDS.csv,,,,,
14,14.171249999999418,3.9539106,-1.92431e-05,25.0,3.9537733,3.9537532,3.953751,3.9537504,-1.92431e-05,-1.92431e-05,1.92431e-05,1.92431e-05,0.8361319512541487,FUDS,25,NMC_25C_FUDS.csv,,,,,
15,15.171760000004724,3.9537487,-0.000199852,25.0,3.9537733,3.9537537,3.953751,3.9537504,-2.2819395e-05,-2.014389e-05,2.2819395e-05,2.014389e-05,0.8361319391996516,FUDS,25,NMC_25C_FUDS.csv,,,,,
16,16.187360000003537,3.9539106,-1.92431e-05,25.0,3.9537745,3.9537542,3.953751,3.9537504,-2.274858e-05,-2.0139398e-05,2.274858e-05,2.0139398e-05,0.8361319364178446,FUDS,25,NMC_25C_FUDS.csv,,,,,
17,17.202980000001844,3.9540725,-1.92431e-05,25.0,3.9537768,3.9537547,3.9537513,3.9537504,-2.2679167e-05,-2.0134927e-05,2.2679167e-05,2.0134927e-05,0.8361319308542304,FUDS,25,NMC_25C_FUDS.csv,,,,,
18,18.21860000000015,3.9539106,-1.92431e-05,25.0,3.953778,3.953755,3.9537516,3.9537504,-2.2611128e-05,-2.013048e-05,2.2611128e-05,2.013048e-05,0.836131927608789,FUDS,25,NMC_25C_FUDS.csv,,,,,
19,19.21860000000015,3.9540725,-1.92431e-05,25.0,3.9537804,3.9537556,3.9537516,3.9537506,-2.2544436e-05,-2.0126054e-05,2.2544436e-05,2.0126054e-05,0.8361319220451748,FUDS,25,NMC_25C_FUDS.csv,,,,,
20,20.21860000000015,3.8857567,-0.9621249,25.0,3.9538002,3.9537563,3.9537518,3.9537506,-0.019073447,-0.0048186434,0.019073447,0.0048186434,0.8361067564278462,FUDS,25,NMC_25C_FUDS.csv,,,,,
21,21.234199999998964,3.8844616,-0.94659245,25.0,3.9537997,3.9537573,3.953752,3.9537506,-0.037439555,-0.0095157605,0.037439555,0.0095157605,0.8359813734303281,FUDS,25,NMC_25C_FUDS.csv,,,,,
22,22.249800000005052,3.841238,-1.5344757,25.0,3.9537973,3.953758,3.9537523,3.9537506,-0.06708285,-0.01712153,0.06708285,0.01712153,0.8358398258157727,FUDS,25,NMC_25C_FUDS.csv,,,,,
23,23.249840000004042,3.8142033,-1.873118,25.0,3.9537764,3.9537585,3.9537525,3.9537506,-0.102844745,-0.02637835,0.102844745,0.02637835,0.8356319724396699,FUDS,25,NMC_25C_FUDS.csv,,,,,
24,24.26546000000235,3.7939675,-2.1160376,25.0,3.9537346,3.953758,3.9537523,3.9537506,-0.14270864,-0.03680057,0.14270864,0.03680057,0.8353788998629683,FUDS,25,NMC_25C_FUDS.csv,,,,,
25,25.281050000005052,3.774865,-2.3392706,25.0,3.9536698,3.953756,3.953752,3.9537506,-0.18620348,-0.048284188,0.18620348,0.048284188,0.8350944832755166,FUDS,25,NMC_25C_FUDS.csv,,,,,
26,26.296350000004168,3.8930416,-0.6379312,25.0,3.9535522,3.953752,3.9537508,3.9537504,-0.19514829,-0.051225062,0.19514829,0.051225062,0.8348514219586941,FUDS,25,NMC_25C_FUDS.csv,,,,,
27,27.29667999999947,3.873939,-0.9317825,25.0,3.9534574,3.9537463,3.9537494,3.95375,-0.20973462,-0.055616863,0.20973462,0.055616863,0.8347573417084552,FUDS,25,NMC_25C_FUDS.csv,,,,,
28,28.312270000002172,3.741031,-2.7842917,25.0,3.9533842,3.9537392,3.9537477,3.9537494,-0.26071426,-0.06922618,0.26071426,0.06922618,0.8345646371261879,FUDS,25,NMC_25C_FUDS.csv,,,,,
29,29.312480000000505,3.8409142,-1.3161191,25.0,3.9532502,3.9537294,3.9537451,3.953749,-0.2816127,-0.075445086,0.2816127,0.075445086,0.8342621179294657,FUDS,25,NMC_25C_FUDS.csv,,,,,
30,30.32789000000048,3.8592074,-1.0629048,25.0,3.953113,3.9537172,3.953742,3.9537482,-0.29708332,-0.08037007,0.29708332,0.08037007,0.8341001843056995,FUDS,25,NMC_25C_FUDS.csv,,,,,
31,31.327940000002855,3.9021072,-0.4603923,25.0,3.9529693,3.9537024,3.9537382,3.953747,-0.30031705,-0.08226544,0.30031705,0.08226544,0.8339869267414061,FUDS,25,NMC_25C_FUDS.csv,,,,,
32,32.34350999999879,3.9424167,0.08577016,25.0,3.9528275,3.953685,3.9537337,3.953746,-0.292672,-0.08142735,0.29606873,0.082282916,0.8339497910084122,FUDS,25,NMC_25C_FUDS.csv,,,,,
