profile,temperature_C,signal_name,n_samples,duration_s,sampling_interval_median_s,detrend_type,low_frequency_energy_fraction,mid_frequency_energy_fraction,high_frequency_energy_fraction,spectral_centroid_cycles_per_sample,median_frequency_cycles_per_sample,frequency_at_90_percent_cumulative_power,voltage_column_used,current_column_used,soc_column_used
BJDST,0.0,Voltage,10172,10279.46662,1.0155500000000757,constant,0.3676942854883254,0.4169037781773734,0.2154019363343011,0.01833390277267179,0.005859375,0.037109375,Voltage(V),Current(A),SOC_CC
BJDST,0.0,Voltage,10172,10279.46662,1.0155500000000757,linear,0.34511935825034196,0.43171519155797355,0.22316545019168454,0.018957333173453408,0.0068359375,0.0380859375,Voltage(V),Current(A),SOC_CC
BJDST,0.0,Current,10172,10279.46662,1.0155500000000757,constant,0.27661273071714776,0.42918870405298615,0.29419856522986626,0.025365277384016068,0.009765625,0.0537109375,Voltage(V),Current(A),SOC_CC
BJDST,0.0,Current,10172,10279.46662,1.0155500000000757,linear,0.2754757981392945,0.4298741053692525,0.29465009649145285,0.02540327128604466,0.009765625,0.0537109375,Voltage(V),Current(A),SOC_CC
BJDST,0.0,Reference SOC,10172,10279.46662,1.0155500000000757,constant,0.991839012624751,0.007868461221409653,0.00029252615383907373,0.0011467393270645676,0.0009765625,0.0009765625,Voltage(V),Current(A),SOC_CC
BJDST,0.0,Reference SOC,10172,10279.46662,1.0155500000000757,linear,0.867678662787315,0.12754345817701135,0.004777879035673529,0.0028720939510913485,0.001953125,0.005859375,Voltage(V),Current(A),SOC_CC
DST,0.0,Voltage,9527,9608.00446,1.0155100000010862,constant,0.21187832908805943,0.4079597542935141,0.3801619166184265,0.030900654098017084,0.0107421875,0.0703125,Voltage(V),Current(A),SOC_CC
DST,0.0,Voltage,9527,9608.00446,1.0155100000010862,linear,0.20619266919697307,0.4109437175702162,0.38286361323281076,0.031111752394073603,0.0107421875,0.0703125,Voltage(V),Current(A),SOC_CC
DST,0.0,Current,9527,9608.00446,1.0155100000010862,constant,0.1585925537445081,0.38659836540626125,0.4548090808492307,0.037509675015421795,0.0185546875,0.076171875,Voltage(V),Current(A),SOC_CC
DST,0.0,Current,9527,9608.00446,1.0155100000010862,linear,0.15844555542049735,0.38668282538688525,0.45487161919261754,0.03751414914971772,0.0185546875,0.076171875,Voltage(V),Current(A),SOC_CC
DST,0.0,Reference SOC,9527,9608.00446,1.0155100000010862,constant,0.9778542950557096,0.020904791582077337,0.0012409133622132262,0.0013100764238547233,0.0009765625,0.001953125,Voltage(V),Current(A),SOC_CC
DST,0.0,Reference SOC,9527,9608.00446,1.0155100000010862,linear,0.7035121932932281,0.27990185043697036,0.016585956269801385,0.004768933763106266,0.0029296875,0.0087890625,Voltage(V),Current(A),SOC_CC
