profile,temperature_C,feature_name,feature_group,n_samples,duration_s,sampling_interval_median_s,detrend_type,low_frequency_energy_fraction,mid_frequency_energy_fraction,high_frequency_energy_fraction,spectral_centroid_cycles_per_sample,median_frequency_cycles_per_sample,frequency_at_90_percent_cumulative_power,reference_raw_signal,high_frequency_energy_reduction_vs_reference_percent,source_file,feature_column_used
BJDST,0.0,Raw voltage,raw_voltage,10172,10279.46662,1.0155500000000757,constant,0.36769428541922716,0.41690377819023616,0.21540193639053679,0.018333902776180765,0.005859375,0.037109375,V_raw,0.0,NMC_0C_BJDST.csv,V_raw
BJDST,0.0,Raw voltage,raw_voltage,10172,10279.46662,1.0155500000000757,linear,0.3451193581810927,0.4317151915697537,0.22316545024915357,0.018957333177026692,0.0068359375,0.0380859375,V_raw,0.0,NMC_0C_BJDST.csv,V_raw
BJDST,0.0,Corrected voltage,corrected_voltage,10172,10279.46662,1.0155500000000757,constant,0.946818664315814,0.05230862121129493,0.0008727144728909312,0.0017677853475510823,0.0009765625,0.0029296875,V_raw,99.59484371983145,NMC_0C_BJDST.csv,V_corr_raw
BJDST,0.0,Corrected voltage,corrected_voltage,10172,10279.46662,1.0155500000000757,linear,0.8817681901242037,0.11628807043008056,0.001943739445715839,0.0026147286881509075,0.001953125,0.005859375,V_raw,99.12901417152801,NMC_0C_BJDST.csv,V_corr_raw
BJDST,0.0,Raw current,raw_current,10172,10279.46662,1.0155500000000757,constant,0.2766127307322947,0.4291887040008593,0.29419856526684596,0.025365277385517374,0.009765625,0.0537109375,I_raw,0.0,NMC_0C_BJDST.csv,I_raw
BJDST,0.0,Raw current,raw_current,10172,10279.46662,1.0155500000000757,linear,0.27547579815466366,0.4298741053169256,0.2946500965284107,0.025403271287541832,0.009765625,0.0537109375,I_raw,0.0,NMC_0C_BJDST.csv,I_raw
BJDST,0.0,Short voltage EMA,voltage_ema,10172,10279.46662,1.0155500000000757,constant,0.9865611442845412,0.013420376595329912,1.8479120128968978e-05,0.0013894278342256878,0.0009765625,0.001953125,V_corr_raw,97.88256976330923,NMC_0C_BJDST.csv,V_corr_raw_ema50
BJDST,0.0,Short voltage EMA,voltage_ema,10172,10279.46662,1.0155500000000757,linear,0.962987161196355,0.036962586973523545,5.0251830121745076e-05,0.0019450970305325587,0.001953125,0.0029296875,V_corr_raw,97.41468280470903,NMC_0C_BJDST.csv,V_corr_raw_ema50
BJDST,0.0,Mid voltage EMA,voltage_ema,10172,10279.46662,1.0155500000000757,constant,0.9981579359957645,0.0018399747621119299,2.0892421234326753e-06,0.0011291539437477513,0.0009765625,0.001953125,V_corr_raw,99.76060416226261,NMC_0C_BJDST.csv,V_corr_raw_ema200
BJDST,0.0,Mid voltage EMA,voltage_ema,10172,10279.46662,1.0155500000000757,linear,0.9881760770698325,0.011811189232200455,1.2733697967060474e-05,0.00161395879643713,0.0009765625,0.0029296875,V_corr_raw,99.34488657957081,NMC_0C_BJDST.csv,V_corr_raw_ema200
BJDST,0.0,Long voltage EMA,voltage_ema,10172,10279.46662,1.0155500000000757,constant,0.9997735280131202,0.00022618770965563063,2.8427722440747853e-07,0.0010420123471718149,0.0009765625,0.0009765625,V_corr_raw,99.96742609029207,NMC_0C_BJDST.csv,V_corr_raw_ema800
BJDST,0.0,Long voltage EMA,voltage_ema,10172,10279.46662,1.0155500000000757,linear,0.9934734230789438,0.006519674647278894,6.9022737773995785e-06,0.001439437164702452,0.0009765625,0.001953125,V_corr_raw,99.6448971701113,NMC_0C_BJDST.csv,V_corr_raw_ema800
BJDST,0.0,Short current EMA,current_ema,10172,10279.46662,1.0155500000000757,constant,0.700536043930023,0.2865398222571525,0.012924133812824206,0.004405238709877965,0.0029296875,0.0078125,I_raw,95.6070031133219,NMC_0C_BJDST.csv,I_raw_ema50
BJDST,0.0,Short current EMA,current_ema,10172,10279.46662,1.0155500000000757,linear,0.6966435824666725,0.29026460299482404,0.013091814538503358,0.004450237953763385,0.0029296875,0.0078125,I_raw,95.55682665889064,NMC_0C_BJDST.csv,I_raw_ema50
BJDST,0.0,Long current EMA,current_ema,10172,10279.46662,1.0155500000000757,constant,0.8562496603498615,0.1386021310571907,0.0051482085929476645,0.0029622416432358175,0.001953125,0.005859375,I_raw,98.25009051683236,NMC_0C_BJDST.csv,I_raw_ema200
BJDST,0.0,Long current EMA,current_ema,10172,10279.46662,1.0155500000000757,linear,0.8466785787269555,0.1478308384782056,0.005490582794838801,0.0030878099921662072,0.001953125,0.005859375,I_raw,98.13657526010367,NMC_0C_BJDST.csv,I_raw_ema200
BJDST,0.0,Short abs-current EMA,abs_current_ema,10172,10279.46662,1.0155500000000757,constant,0.7402334961480053,0.2497103061947541,0.010056197657240728,0.003947686591897805,0.0029296875,0.0068359375,I_raw,96.58183320910504,NMC_0C_BJDST.csv,absI_ema50
BJDST,0.0,Short abs-current EMA,abs_current_ema,10172,10279.46662,1.0155500000000757,linear,0.7325551841639528,0.25709147151158,0.010353344324467292,0.00403402810308462,0.0029296875,0.0068359375,I_raw,96.48622401741892,NMC_0C_BJDST.csv,absI_ema50
BJDST,0.0,Long abs-current EMA,abs_current_ema,10172,10279.46662,1.0155500000000757,constant,0.8930079303590671,0.10355852609342776,0.0034335435475053204,0.0025177278543510244,0.001953125,0.005859375,I_raw,98.83291628414605,NMC_0C_BJDST.csv,absI_ema200
BJDST,0.0,Long abs-current EMA,abs_current_ema,10172,10279.46662,1.0155500000000757,linear,0.8817782917117235,0.11442819604911095,0.0037935122391652646,0.002668014492532543,0.001953125,0.005859375,I_raw,98.71253657003317,NMC_0C_BJDST.csv,absI_ema200
BJDST,0.0,Voltage EMA deviation 50,ema_deviation,10172,10279.46662,1.0155500000000757,constant,0.7084691831454549,0.28544482327561094,0.0060859935789340696,0.004122208316481243,0.0029296875,0.0068359375,V_corr_raw,-597.3636587890843,NMC_0C_BJDST.csv,V_corr_raw_dev_ema50
BJDST,0.0,Voltage EMA deviation 50,ema_deviation,10172,10279.46662,1.0155500000000757,linear,0.6964894667447116,0.2971703801079729,0.00634015314731541,0.004252052750017555,0.0029296875,0.0068359375,V_corr_raw,-226.18328353060014,NMC_0C_BJDST.csv,V_corr_raw_dev_ema50
BJDST,0.0,Voltage EMA deviation 200,ema_deviation,10172,10279.46662,1.0155500000000757,constant,0.8608665378914195,0.13678858881334238,0.0023448732952384707,0.0028312808206024925,0.001953125,0.005859375,V_corr_raw,-168.68733910999606,NMC_0C_BJDST.csv,V_corr_raw_dev_ema200
BJDST,0.0,Voltage EMA deviation 200,ema_deviation,10172,10279.46662,1.0155500000000757,linear,0.8430715879770646,0.1542836897365895,0.0026447222863458268,0.0030494758162010363,0.001953125,0.005859375,V_corr_raw,-36.06362170480264,NMC_0C_BJDST.csv,V_corr_raw_dev_ema200
BJDST,0.0,Voltage EMA deviation 800,ema_deviation,10172,10279.46662,1.0155500000000757,constant,0.8989518110163738,0.0993806867220826,0.001667502261543533,0.002399394864402859,0.001953125,0.005859375,V_corr_raw,-91.07076980398968,NMC_0C_BJDST.csv,V_corr_raw_dev_ema800
BJDST,0.0,Voltage EMA deviation 800,ema_deviation,10172,10279.46662,1.0155500000000757,linear,0.8749459716563616,0.12299064844716627,0.0020633798964720955,0.0027013664970443004,0.001953125,0.005859375,V_corr_raw,-6.1551691519125145,NMC_0C_BJDST.csv,V_corr_raw_dev_ema800
BJDST,0.0,Current EMA deviation 50,ema_deviation,10172,10279.46662,1.0155500000000757,constant,0.16592573183642245,0.4664579014652205,0.367616366698357,0.030835144348557705,0.0126953125,0.060546875,I_raw,-24.955186768133675,NMC_0C_BJDST.csv,I_raw_dev_ema50
BJDST,0.0,Current EMA deviation 50,ema_deviation,10172,10279.46662,1.0155500000000757,linear,0.16710233873082064,0.4658191974052108,0.3670784638639683,0.030791932251609814,0.0126953125,0.060546875,I_raw,-24.58114495427425,NMC_0C_BJDST.csv,I_raw_dev_ema50
BJDST,0.0,Current EMA deviation 200,ema_deviation,10172,10279.46662,1.0155500000000757,constant,0.2565768018618656,0.4392300442426365,0.3041931538954981,0.026139414669403952,0.009765625,0.0556640625,I_raw,-3.397225482587516,NMC_0C_BJDST.csv,I_raw_dev_ema200
BJDST,0.0,Current EMA deviation 200,ema_deviation,10172,10279.46662,1.0155500000000757,linear,0.25635636784341176,0.43938052934127547,0.30426310281531266,0.026145963989976772,0.009765625,0.0556640625,I_raw,-3.26251591299753,NMC_0C_BJDST.csv,I_raw_dev_ema200
BJDST,0.0,Abs-current EMA deviation 50,ema_deviation,10172,10279.46662,1.0155500000000757,constant,0.17490277232139986,0.48536729936804646,0.3397299283105538,0.02967043255323689,0.0126953125,0.05859375,I_raw,-15.476405536651649,NMC_0C_BJDST.csv,absI_dev_ema50
BJDST,0.0,Abs-current EMA deviation 50,ema_deviation,10172,10279.46662,1.0155500000000757,linear,0.1756121262223959,0.4849689322158473,0.33941894156175667,0.029644637850284747,0.0126953125,0.05859375,I_raw,-15.193901363283382,NMC_0C_BJDST.csv,absI_dev_ema50
BJDST,0.0,Abs-current EMA deviation 200,ema_deviation,10172,10279.46662,1.0155500000000757,constant,0.2819737047961096,0.4445847836426128,0.27344151156127755,0.02454151023079959,0.009765625,0.052734375,I_raw,7.055457149065701,NMC_0C_BJDST.csv,absI_dev_ema200
BJDST,0.0,Abs-current EMA deviation 200,ema_deviation,10172,10279.46662,1.0155500000000757,linear,0.2789654977030391,0.4464664303349812,0.27456807196197985,0.024639043600788994,0.009765625,0.052734375,I_raw,6.8155499702999345,NMC_0C_BJDST.csv,absI_dev_ema200
DST,0.0,Raw voltage,raw_voltage,9527,9608.00446,1.0155100000010862,constant,0.21187832908658127,0.40795975428563913,0.38016191662777954,0.03090065409713618,0.0107421875,0.0703125,V_raw,0.0,NMC_0C_DST.csv,V_raw
DST,0.0,Raw voltage,raw_voltage,9527,9608.00446,1.0155100000010862,linear,0.20619266919374069,0.4109437175631626,0.38286361324309637,0.031111752393253898,0.0107421875,0.0703125,V_raw,0.0,NMC_0C_DST.csv,V_raw
