model_id,seed,temperature_C,n_windows,MAE_pct,RMSE_pct,MaxAE_pct,source_prediction_file
cema_tcn_proposed_g4,0,0.0,9658,0.4452818094849337,0.58415332767454,2.0529747,paper_artifacts/source_metrics/g4_seed_reproduction_by_temp.csv
cema_tcn_proposed_g4,0,25.0,11043,0.4629630055156465,0.6926591640079259,3.34132,paper_artifacts/source_metrics/g4_seed_reproduction_by_temp.csv
cema_tcn_proposed_g4,0,45.0,11577,0.3780863952582471,0.51738529663495,1.7483845000000002,paper_artifacts/source_metrics/g4_seed_reproduction_by_temp.csv
cema_tcn_proposed_g4,1,0.0,9658,0.4636820420624567,0.5786116194393186,1.5376821,paper_artifacts/source_metrics/g4_seed_reproduction_by_temp.csv
cema_tcn_proposed_g4,1,25.0,11043,0.4974669201191822,0.7522504621235702,3.7430484,paper_artifacts/source_metrics/g4_seed_reproduction_by_temp.csv
cema_tcn_proposed_g4,1,45.0,11577,0.3322813961943052,0.453027810219433,1.534304,paper_artifacts/source_metrics/g4_seed_reproduction_by_temp.csv
cema_tcn_proposed_g4,2,0.0,9658,0.4494940560409333,0.5961693812824299,2.1227092,paper_artifacts/source_metrics/g4_seed_reproduction_by_temp.csv
cema_tcn_proposed_g4,2,25.0,11043,0.4088456477654659,0.5845865175341799,3.7464812,paper_artifacts/source_metrics/g4_seed_reproduction_by_temp.csv
cema_tcn_proposed_g4,2,45.0,11577,0.3319408279463091,0.4405642014814933,1.3432488,paper_artifacts/source_metrics/g4_seed_reproduction_by_temp.csv
endpoint_mlp,0,0.0,9658,0.6648669580347898,0.8647916724400413,3.5994619999999977,risk_modelclass_endpoint_mlp_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
endpoint_mlp,0,25.0,11043,1.3532315011500498,1.7931375599921953,6.267246999999998,risk_modelclass_endpoint_mlp_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
endpoint_mlp,0,45.0,11577,0.5981600849270104,0.9207271746431278,5.078226,risk_modelclass_endpoint_mlp_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
endpoint_mlp,1,0.0,9658,0.7040422180886312,0.9348157470999766,4.410255000000002,risk_modelclass_endpoint_mlp_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
endpoint_mlp,1,25.0,11043,1.354604377162003,1.7925768690455048,7.461567000000002,risk_modelclass_endpoint_mlp_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
endpoint_mlp,1,45.0,11577,0.5748936559989635,0.8369662444116608,3.682158000000002,risk_modelclass_endpoint_mlp_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
endpoint_mlp,2,0.0,9658,0.7418971790122179,1.0352195778886533,3.9865170000000005,risk_modelclass_endpoint_mlp_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
endpoint_mlp,2,25.0,11043,1.205670668550213,1.581635542686413,6.776248000000002,risk_modelclass_endpoint_mlp_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
endpoint_mlp,2,45.0,11577,0.509712845011661,0.7169838890258318,3.230870000000002,risk_modelclass_endpoint_mlp_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
gru_h128_l1,0,0.0,9658,0.7805566197763513,0.9808307449752094,3.424295999999999,risk_modelclass_gru_h128_l1_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
gru_h128_l1,0,25.0,11043,0.9621406611971385,1.1590519049458268,3.2609100000000057,risk_modelclass_gru_h128_l1_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
gru_h128_l1,0,45.0,11577,0.8471461541936599,1.0086821837105133,3.394163,risk_modelclass_gru_h128_l1_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
gru_h128_l1,1,0.0,9658,0.6258123194450197,0.8536190129402252,3.8821429999999992,risk_modelclass_gru_h128_l1_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
gru_h128_l1,1,25.0,11043,0.8920790413384043,1.0874099411957545,2.9432579999999984,risk_modelclass_gru_h128_l1_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
gru_h128_l1,1,45.0,11577,0.43995289739137944,0.6350088103031414,3.314595999999997,risk_modelclass_gru_h128_l1_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
gru_h128_l1,2,0.0,9658,0.5540370380306481,0.7559475729034985,3.6309900000000006,risk_modelclass_gru_h128_l1_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
gru_h128_l1,2,25.0,11043,0.915924466992665,1.1184597050375449,3.5999369999999975,risk_modelclass_gru_h128_l1_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
gru_h128_l1,2,45.0,11577,0.36647126539690766,0.5214909155572295,2.94084,risk_modelclass_gru_h128_l1_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
gru_h128_l6,0,0.0,9658,0.7505940360530131,0.9762893495454351,2.9210179999999974,risk_modelclass_gru_h128_l6_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
gru_h128_l6,0,25.0,11043,1.0837311518518518,1.2845688707954785,3.592055999999999,risk_modelclass_gru_h128_l6_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
gru_h128_l6,0,45.0,11577,0.4599686545218969,0.5815842240638649,2.388698,risk_modelclass_gru_h128_l6_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
gru_h128_l6,1,0.0,9658,0.669246413770967,0.8663809962693627,2.70648,risk_modelclass_gru_h128_l6_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
gru_h128_l6,1,25.0,11043,0.9639755387666394,1.1791036570930578,3.6530249999999986,risk_modelclass_gru_h128_l6_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
gru_h128_l6,1,45.0,11577,0.5089868119201866,0.6565029677200956,2.1936420000000014,risk_modelclass_gru_h128_l6_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
gru_h128_l6,2,0.0,9658,0.6528015382895009,0.9005208310385677,2.8471440000000015,risk_modelclass_gru_h128_l6_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
gru_h128_l6,2,25.0,11043,1.0349989033143168,1.2992708819554384,3.4891959999999997,risk_modelclass_gru_h128_l6_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
gru_h128_l6,2,45.0,11577,0.4849740535371858,0.6246703178445862,1.8313619999999975,risk_modelclass_gru_h128_l6_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l1,0,0.0,9658,0.5048213464899565,0.6277939134150354,2.129647000000001,risk_modelclass_lstm_h128_l1_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l1,0,25.0,11043,0.575660421706058,0.7651718951110317,4.131707000000001,risk_modelclass_lstm_h128_l1_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l1,0,45.0,11577,0.3004357823874924,0.5216984888411149,3.6102800000000017,risk_modelclass_lstm_h128_l1_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l1,1,0.0,9658,0.5101547154069165,0.7048702336958648,3.356233000000003,risk_modelclass_lstm_h128_l1_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l1,1,25.0,11043,0.6249544294666305,0.8177216269252138,3.203178000000001,risk_modelclass_lstm_h128_l1_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l1,1,45.0,11577,0.23106839622527423,0.32719425019327175,1.7489949999999976,risk_modelclass_lstm_h128_l1_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l1,2,0.0,9658,0.560841713574239,0.7312643066687488,2.6302269999999988,risk_modelclass_lstm_h128_l1_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l1,2,25.0,11043,0.8436011976636785,1.0958501091720045,3.539883000000005,risk_modelclass_lstm_h128_l1_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l1,2,45.0,11577,0.40741211794938237,0.5319226706573926,2.579607,risk_modelclass_lstm_h128_l1_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l6,0,0.0,9658,0.6546572917477738,0.8122573243829913,2.5930190000000017,risk_modelclass_lstm_h128_l6_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l6,0,25.0,11043,0.5103794932717558,0.6926417477534699,2.931641,risk_modelclass_lstm_h128_l6_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l6,0,45.0,11577,0.32747722172410815,0.41061938066345727,1.4397009999999988,risk_modelclass_lstm_h128_l6_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l6,1,0.0,9658,0.654136591488921,0.849915631979488,2.2381469999999988,risk_modelclass_lstm_h128_l6_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l6,1,25.0,11043,0.6882153847052432,0.8830733464961533,2.822100999999999,risk_modelclass_lstm_h128_l6_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l6,1,45.0,11577,0.36604575384814714,0.49053695057045527,2.2566219999999997,risk_modelclass_lstm_h128_l6_seed012_e160_seed1_sel160_condinv_trainDST25_selected_seed1_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l6,2,0.0,9658,0.852807631466142,1.0359914579538891,3.648990000000002,risk_modelclass_lstm_h128_l6_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l6,2,25.0,11043,0.9608205144163724,1.186146638843244,3.8147209999999987,risk_modelclass_lstm_h128_l6_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
lstm_h128_l6,2,45.0,11577,0.6684113303014598,0.8990601499658115,3.2141190000000006,risk_modelclass_lstm_h128_l6_seed012_e160_seed2_sel160_condinv_trainDST25_selected_seed2_ep160_base_test_prediction_rows.csv.gz
transformer_d128_h8_l2_gelu,0,0.0,9658,0.6693105328121763,0.8710835230369821,3.7838140000000022,risk_modelclass_transformer_d128_h8_l2_gelu_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
transformer_d128_h8_l2_gelu,0,25.0,11043,0.8130573781671648,1.0072437442297124,3.1154600000000032,risk_modelclass_transformer_d128_h8_l2_gelu_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
transformer_d128_h8_l2_gelu,0,45.0,11577,0.6048989030318734,0.7866881823026459,3.1988020000000006,risk_modelclass_transformer_d128_h8_l2_gelu_seed012_e160_seed0_sel160_condinv_trainDST25_selected_seed0_ep160_base_test_prediction_rows.csv.gz
