temperature_C,condition,median_SOC_IQR_fraction,p90_SOC_IQR_fraction,fraction_samples_in_ambiguous_bins_IQR_ge_0p10,n_valid_bins
0.0,A_raw_VI_bins,0.01715026257428276,0.07393687059733692,0.029057807035589384,219
0.0,B_raw_plus_absI_mean_past200_tertile,0.004731042023005394,0.10358078048837044,0.012188850030857849,65
0.0,C_raw_plus_V_dev_from_past200_tertile,0.0194294121472523,0.08052365836338786,0.029057807035589384,164
0.0,D_raw_plus_both_history_tertiles,0.004731042023005394,0.11986479618374574,0.012188850030857849,47
25.0,A_raw_VI_bins,0.015332937870271734,0.052126592096049,0.016858571494105235,222
25.0,B_raw_plus_absI_mean_past200_tertile,0.003648120069552868,0.03369267584723089,0.005573650167438873,102
25.0,C_raw_plus_V_dev_from_past200_tertile,0.013034070759189914,0.060497746449137274,0.016858571494105235,172
25.0,D_raw_plus_both_history_tertiles,0.002832618361703676,0.032606203439987706,0.005573650167438873,79
45.0,A_raw_VI_bins,0.013054521501462857,0.042030528582583375,0.020838863817361296,262
45.0,B_raw_plus_absI_mean_past200_tertile,0.0045227596006322535,0.0293130361754095,0.003296168480665428,84
45.0,C_raw_plus_V_dev_from_past200_tertile,0.013465541907911112,0.04686974508640088,0.020838863817361296,210
45.0,D_raw_plus_both_history_tertiles,0.004313284027996467,0.044316349502946474,0.003296168480665428,66
