temperature_C,condition,bin_key,n_samples,SOC_IQR_fraction,SOC_range_fraction
0.0,A_raw_VI_bins,"(0, 0)",244,0.12995170091063074,0.3518700433676686
0.0,A_raw_VI_bins,"(0, 1)",156,0.07249906917657695,0.15002172803807778
0.0,A_raw_VI_bins,"(0, 2)",60,0.051600255923117774,0.13102506376876022
0.0,A_raw_VI_bins,"(0, 3)",79,0.06780494086563155,0.11598721198129092
0.0,A_raw_VI_bins,"(0, 4)",84,0.037236333179678366,0.1078543896248305
0.0,A_raw_VI_bins,"(0, 7)",100,0.031991455872396324,0.096450956499744
0.0,A_raw_VI_bins,"(1, 0)",171,0.18948848001829255,0.3607759282542249
0.0,A_raw_VI_bins,"(1, 1)",116,0.0738735355425219,0.21864243165077218
0.0,A_raw_VI_bins,"(1, 2)",81,0.03304177565939159,0.1262335565481859
0.0,A_raw_VI_bins,"(1, 3)",81,0.056580243269230696,0.14151303761000789
0.0,A_raw_VI_bins,"(1, 4)",59,0.029868504177861466,0.1207362930235239
0.0,A_raw_VI_bins,"(1, 7)",75,0.02475623578150349,0.1367457209690939
0.0,A_raw_VI_bins,"(2, 0)",119,0.20715609444361527,0.34598146254933254
0.0,A_raw_VI_bins,"(2, 1)",171,0.0897203432207277,0.24368506641017418
0.0,A_raw_VI_bins,"(2, 2)",78,0.04663990939800186,0.21401955389789817
0.0,A_raw_VI_bins,"(2, 4)",59,0.051988599901313215,0.109210005190158
0.0,A_raw_VI_bins,"(2, 5)",57,0.031709933331516116,0.08778483348897229
0.0,A_raw_VI_bins,"(2, 7)",78,0.030832155938987083,0.1039138569874049
0.0,A_raw_VI_bins,"(2, 10)",65,0.014113176788958709,0.10222908875721629
0.0,A_raw_VI_bins,"(3, 0)",70,0.17129098952592636,0.2920955370000036
0.0,A_raw_VI_bins,"(3, 1)",105,0.11725977735693327,0.22806581879174898
0.0,A_raw_VI_bins,"(3, 2)",77,0.08015453900324027,0.2468025400731166
