temperature_C,condition,median_SOC_IQR_fraction,p90_SOC_IQR_fraction,fraction_samples_in_ambiguous_bins_IQR_ge_0p10,n_valid_bins
0.0,A_raw_VI_bins,0.01715026257428276,0.07393687059733692,0.029057807035589384,219
0.0,B_raw_plus_absI_mean_past200_tertile,0.0064301979915022955,0.07170578899388483,0.012265994651306315,63
0.0,C_raw_plus_V_dev_from_past200_tertile,0.023775423584647765,0.09093757224516513,0.029032092162106563,127
0.0,D_raw_plus_both_history_tertiles,0.012538266568280193,0.10738057447596597,0.012265994651306315,36
25.0,A_raw_VI_bins,0.015332937870271734,0.052126592096049,0.016858571494105235,222
25.0,B_raw_plus_absI_mean_past200_tertile,0.005813624279869221,0.03495013293347989,0.006514060277994403,100
25.0,C_raw_plus_V_dev_from_past200_tertile,0.015245848359062397,0.06824697499697364,0.01674388733428139,158
25.0,D_raw_plus_both_history_tertiles,0.00711709491277665,0.04650046568222499,0.006514060277994403,71
45.0,A_raw_VI_bins,0.013054521501462857,0.042030528582583375,0.020838863817361296,262
45.0,B_raw_plus_absI_mean_past200_tertile,0.0061731292738942956,0.04935113175874012,0.004313777541810459,74
45.0,C_raw_plus_V_dev_from_past200_tertile,0.013615019970172216,0.05282172325447636,0.016480842403327138,176
45.0,D_raw_plus_both_history_tertiles,0.006326904752420426,0.07074534145287073,0.004114680116803823,48
