Feature set,Dim.,Seed,0 ℃ MAE,25 ℃ MAE,45 ℃ MAE
G0,3,0,1.0579,1.7508,0.3564
G0,3,1,1.084,1.9798,0.2385
G0,3,2,1.0356,1.7962,0.2348
G1,8,0,0.8474,1.4108,0.2585
G1,8,1,0.7645,1.9235,0.1994
G1,8,2,0.7661,1.84,0.1997
G4,17,0,0.3976,0.6068,0.3561
G4,17,1,0.4035,0.467,0.3051
G4,17,2,0.4559,0.3205,0.4197
G6,23,0,0.4654,0.9187,0.3717
G6,23,1,0.436,0.5856,0.4111
G6,23,2,0.4613,0.5925,0.3302
G7,15,0,0.4699,2.1015,0.3306
G7,15,1,0.4566,2.0425,0.3384
G7,15,2,0.463,1.9873,0.3387
G8,17,0,0.597,0.9209,0.2312
G8,17,1,0.6855,0.4451,0.1354
G8,17,2,0.5486,0.464,0.1602
