raw_archive_filename,internal_file_name,profile,temperature_C,cell,chemistry,record_type,source_url,archive_sha256,raw_data_in_repository
NMC SAMSUNG INR 18650 2Ah.zip,NMC SAMSUNG INR 18650 2Ah/0C/NMC_0C_BJDST.csv,BJDST,0,Samsung INR18650-20R,NMC/graphite,dynamic_profile,https://calce.umd.edu/battery-data,2efe0d2470f8fe8e2a271585e2ce6451ebce8af01fae639eb997c1a7bd9387bb,False
NMC SAMSUNG INR 18650 2Ah.zip,NMC SAMSUNG INR 18650 2Ah/0C/NMC_0C_DST.csv,DST,0,Samsung INR18650-20R,NMC/graphite,dynamic_profile,https://calce.umd.edu/battery-data,2efe0d2470f8fe8e2a271585e2ce6451ebce8af01fae639eb997c1a7bd9387bb,False
NMC SAMSUNG INR 18650 2Ah.zip,NMC SAMSUNG INR 18650 2Ah/0C/NMC_0C_US06.csv,US06,0,Samsung INR18650-20R,NMC/graphite,dynamic_profile,https://calce.umd.edu/battery-data,2efe0d2470f8fe8e2a271585e2ce6451ebce8af01fae639eb997c1a7bd9387bb,False
NMC SAMSUNG INR 18650 2Ah.zip,NMC SAMSUNG INR 18650 2Ah/0C/NMC_0C_FUDS.csv,FUDS,0,Samsung INR18650-20R,NMC/graphite,dynamic_profile,https://calce.umd.edu/battery-data,2efe0d2470f8fe8e2a271585e2ce6451ebce8af01fae639eb997c1a7bd9387bb,False
NMC SAMSUNG INR 18650 2Ah.zip,NMC SAMSUNG INR 18650 2Ah/25C/NMC_25C_BJDST.csv,BJDST,25,Samsung INR18650-20R,NMC/graphite,dynamic_profile,https://calce.umd.edu/battery-data,2efe0d2470f8fe8e2a271585e2ce6451ebce8af01fae639eb997c1a7bd9387bb,False
NMC SAMSUNG INR 18650 2Ah.zip,NMC SAMSUNG INR 18650 2Ah/25C/NMC_25C_DST.csv,DST,25,Samsung INR18650-20R,NMC/graphite,dynamic_profile,https://calce.umd.edu/battery-data,2efe0d2470f8fe8e2a271585e2ce6451ebce8af01fae639eb997c1a7bd9387bb,False
NMC SAMSUNG INR 18650 2Ah.zip,NMC SAMSUNG INR 18650 2Ah/25C/NMC_25C_US06.csv,US06,25,Samsung INR18650-20R,NMC/graphite,dynamic_profile,https://calce.umd.edu/battery-data,2efe0d2470f8fe8e2a271585e2ce6451ebce8af01fae639eb997c1a7bd9387bb,False
NMC SAMSUNG INR 18650 2Ah.zip,NMC SAMSUNG INR 18650 2Ah/25C/NMC_25C_FUDS.csv,FUDS,25,Samsung INR18650-20R,NMC/graphite,dynamic_profile,https://calce.umd.edu/battery-data,2efe0d2470f8fe8e2a271585e2ce6451ebce8af01fae639eb997c1a7bd9387bb,False
NMC SAMSUNG INR 18650 2Ah.zip,NMC SAMSUNG INR 18650 2Ah/45C/NMC_45C_BJDST.csv,BJDST,45,Samsung INR18650-20R,NMC/graphite,dynamic_profile,https://calce.umd.edu/battery-data,2efe0d2470f8fe8e2a271585e2ce6451ebce8af01fae639eb997c1a7bd9387bb,False
NMC SAMSUNG INR 18650 2Ah.zip,NMC SAMSUNG INR 18650 2Ah/45C/NMC_45C_DST.csv,DST,45,Samsung INR18650-20R,NMC/graphite,dynamic_profile,https://calce.umd.edu/battery-data,2efe0d2470f8fe8e2a271585e2ce6451ebce8af01fae639eb997c1a7bd9387bb,False
NMC SAMSUNG INR 18650 2Ah.zip,NMC SAMSUNG INR 18650 2Ah/45C/NMC_45C_US06.csv,US06,45,Samsung INR18650-20R,NMC/graphite,dynamic_profile,https://calce.umd.edu/battery-data,2efe0d2470f8fe8e2a271585e2ce6451ebce8af01fae639eb997c1a7bd9387bb,False
NMC SAMSUNG INR 18650 2Ah.zip,NMC SAMSUNG INR 18650 2Ah/45C/NMC_45C_FUDS.csv,FUDS,45,Samsung INR18650-20R,NMC/graphite,dynamic_profile,https://calce.umd.edu/battery-data,2efe0d2470f8fe8e2a271585e2ce6451ebce8af01fae639eb997c1a7bd9387bb,False
SP1_0C_LC_OCV_02_24_2016.zip,,LC_OCV,0,Samsung INR18650-20R,NMC/graphite,low_current_ocv_reference,https://calce.umd.edu/battery-data,d001e5a5f9290e8446d1a4d04d1fe8e081160e56b4246ef1516d06151297c266,False
SP1_25C_LC_OCV_11_5_2015.zip,,LC_OCV,25,Samsung INR18650-20R,NMC/graphite,low_current_ocv_reference,https://calce.umd.edu/battery-data,18f7acb1cf74ac18d13102122404f800ed6888f262dce6eb0a49423509a7fb44,False
SP1_45C_LC_OCV_11_21_2015.zip,,LC_OCV,45,Samsung INR18650-20R,NMC/graphite,low_current_ocv_reference,https://calce.umd.edu/battery-data,4315085c43348d668c093e9afbb88d4bc5213567152d5a54b0d1821aaa52fc70,False
SP1_Initial capacity_10_16_2015.zip,,initial_capacity,,Samsung INR18650-20R,NMC/graphite,capacity_reference,https://calce.umd.edu/battery-data,f8ba5d743d5a5c2e4da73664490b76744b6a89e4a2e7332fc1a6dd7cd06e311b,False
