rotation_id,train_profiles_rotation,test_profile_rotation,seed,temperature_C,MAE_pct,RMSE_pct,n_windows,run_status,source_prefix
R1,"DST,US06,BJDST",FUDS,0,0.0,0.4452818094849337,0.58415332767454,9658,DONE,tier1_g4_seed_reproduction
R1,"DST,US06,BJDST",FUDS,0,25.0,0.4629630055156465,0.6926591640079259,11043,DONE,tier1_g4_seed_reproduction
R1,"DST,US06,BJDST",FUDS,0,45.0,0.3780863952582471,0.51738529663495,11577,DONE,tier1_g4_seed_reproduction
R1,"DST,US06,BJDST",FUDS,1,0.0,0.4636820420624567,0.5786116194393186,9658,DONE,tier1_g4_seed_reproduction
R1,"DST,US06,BJDST",FUDS,1,25.0,0.4974669201191822,0.7522504621235702,11043,DONE,tier1_g4_seed_reproduction
R1,"DST,US06,BJDST",FUDS,1,45.0,0.3322813961943052,0.453027810219433,11577,DONE,tier1_g4_seed_reproduction
R1,"DST,US06,BJDST",FUDS,2,0.0,0.4494940560409333,0.5961693812824299,9658,DONE,tier1_g4_seed_reproduction
R1,"DST,US06,BJDST",FUDS,2,25.0,0.4088456477654659,0.5845865175341799,11043,DONE,tier1_g4_seed_reproduction
R1,"DST,US06,BJDST",FUDS,2,45.0,0.3319408279463091,0.4405642014814933,11577,DONE,tier1_g4_seed_reproduction
R2,"FUDS,US06,BJDST",DST,0,0.0,0.3726866029440338,0.4751964960886444,9478,DONE,paperema_g4_profileR2_holdoutDST_seed012_e160
R2,"FUDS,US06,BJDST",DST,0,25.0,0.7519323786144856,1.1253128869938076,10572,DONE,paperema_g4_profileR2_holdoutDST_seed012_e160
R2,"FUDS,US06,BJDST",DST,0,45.0,0.266675454995093,0.3594371547336802,11255,DONE,paperema_g4_profileR2_holdoutDST_seed012_e160
R2,"FUDS,US06,BJDST",DST,1,0.0,0.3838453609295901,0.4945480088081251,9478,DONE,paperema_g4_profileR2_holdoutDST_seed012_e160
R2,"FUDS,US06,BJDST",DST,1,25.0,0.983053696142017,1.3800454048479835,10572,DONE,paperema_g4_profileR2_holdoutDST_seed012_e160
R2,"FUDS,US06,BJDST",DST,1,45.0,0.2247173756506643,0.2836730017602669,11255,DONE,paperema_g4_profileR2_holdoutDST_seed012_e160
R2,"FUDS,US06,BJDST",DST,2,0.0,0.4559719554984033,0.5762055157141457,9478,DONE,paperema_g4_profileR2_holdoutDST_seed012_e160
R2,"FUDS,US06,BJDST",DST,2,25.0,0.7940205488518879,1.1135273854199756,10572,DONE,paperema_g4_profileR2_holdoutDST_seed012_e160
R2,"FUDS,US06,BJDST",DST,2,45.0,0.3081569587956635,0.3617631696748605,11255,DONE,paperema_g4_profileR2_holdoutDST_seed012_e160
R3,"DST,FUDS,BJDST",US06,0,0.0,0.418555137525494,0.5678897971628372,9433,DONE,paperema_g4_profileR3_holdoutUS06_seed0_e160
R3,"DST,FUDS,BJDST",US06,0,25.0,1.4336674090735204,1.7841345006665998,10631,DONE,paperema_g4_profileR3_holdoutUS06_seed0_e160
R3,"DST,FUDS,BJDST",US06,0,45.0,0.1461238095327957,0.1815896490164696,10835,DONE,paperema_g4_profileR3_holdoutUS06_seed0_e160
R4,"DST,US06,FUDS",BJDST,0,0.0,0.5726681388697464,0.71775710049334,10123,DONE,paperema_g4_profileR4_holdoutBJDST_seed0_e160
R4,"DST,US06,FUDS",BJDST,0,25.0,0.6265324481331178,1.0735271336838994,11156,DONE,paperema_g4_profileR4_holdoutBJDST_seed0_e160
R4,"DST,US06,FUDS",BJDST,0,45.0,0.2160962617499268,0.2457698779664211,11341,DONE,paperema_g4_profileR4_holdoutBJDST_seed0_e160
